Id,community,label
REVELACION DE SECRETO,1,REVELACION DE SECRETO
SECUESTRO EXTORSIVO,2,SECUESTRO EXTORSIVO
SECUESTRO SIMPLE,2,SECUESTRO SIMPLE
ACCESO CARNAL VIOLENTO EN PERSONA PROTEGIDA,2,ACCESO CARNAL VIOLENTO EN PERSONA PROTEGIDA
APODERAMIENTO DE AERONAVES NAVES O MEDIOS DE TRANSPORTE COLECTIVO,2,APODERAMIENTO DE AERONAVES NAVES O MEDIOS DE TRANSPORTE COLECTIVO
SEDICION,2,SEDICION
SIMULACION DE INVESTIDURA O CARGO,3,SIMULACION DE INVESTIDURA O CARGO
SOBORNO,1,SOBORNO
SUMINISTRO A MENOR,8,SUMINISTRO A MENOR
SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES,3,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES
SUPRESION ALTERACION O SUPOSICION DEL ESTADO CIVIL,1,SUPRESION ALTERACION O SUPOSICION DEL ESTADO CIVIL
SUSTRACCION DE BIEN PROPIO,2,SUSTRACCION DE BIEN PROPIO
TENENCIA FABRICACION Y TRAFICO DE SUSTANCIAS U OBJETOS PELIGROSOS,5,TENENCIA FABRICACION Y TRAFICO DE SUSTANCIAS U OBJETOS PELIGROSOS
TERRORISMO,2,TERRORISMO
TESTAFERRATO,1,TESTAFERRATO
TOMA DE REHENES,7,TOMA DE REHENES
TORTURA,2,TORTURA
TORTURA EN PERSONA PROTEGIDA,2,TORTURA EN PERSONA PROTEGIDA
TRAFICO DE MONEDA FALSIFICADA,6,TRAFICO DE MONEDA FALSIFICADA
FRAUDE A RESOLUCIÓN JUDICIAL O ADMINISTRATIVA DE POLICÍA.,6,FRAUDE A RESOLUCIÓN JUDICIAL O ADMINISTRATIVA DE POLICÍA.
TRAFICO DE SUSTANCIAS PARA PROCESAMIENTO DE NARCOTICOS,5,TRAFICO DE SUSTANCIAS PARA PROCESAMIENTO DE NARCOTICOS
TRAFICO ELABORACION Y TENENCIA DE ELEMENTOS DESTINADOS A LA FALSIFICACION DE MONEDA,6,TRAFICO ELABORACION Y TENENCIA DE ELEMENTOS DESTINADOS A LA FALSIFICACION DE MONEDA
TRAFICO FABRICACION O PORTE DE ESTUPEFACIENTES,8,TRAFICO FABRICACION O PORTE DE ESTUPEFACIENTES
TRANSFERENCIA NO CONSENTIDA DE ACTIVOS,3,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS
TRATA DE PERSONAS,0,TRATA DE PERSONAS
URBANIZACION ILEGAL,3,URBANIZACION ILEGAL
USO DE DOCUMENTO FALSO,3,USO DE DOCUMENTO FALSO
USO DE MENORES DE EDAD PARA LA COMISION DE DELITOS,8,USO DE MENORES DE EDAD PARA LA COMISION DE DELITOS
"LESIONES CON AGENTES QUIMICOS, ACIDO Y/O SUSTANCIAS SIMILARES",8,"LESIONES CON AGENTES QUIMICOS, ACIDO Y/O SUSTANCIAS SIMILARES"
USO DE SOFTWARE MALICIOSO,3,USO DE SOFTWARE MALICIOSO
USURPACION DE FUNCIONES PUBLICAS,3,USURPACION DE FUNCIONES PUBLICAS
USURPACION DE MARCAS Y PATENTES,6,USURPACION DE MARCAS Y PATENTES
USURPACIÓN DE DERECHOS DE PROPIEDAD INDUSTRIAL Y DERECHOS DE OBTENTORES DE VARIEDADES VEGETALES,6,USURPACIÓN DE DERECHOS DE PROPIEDAD INDUSTRIAL Y DERECHOS DE OBTENTORES DE VARIEDADES VEGETALES
USO ILEGITIMO DE PATENTES,6,USO ILEGITIMO DE PATENTES
UTILIZACION DE MEDIOS Y METODOS DE GUERRA ILICITOS,2,UTILIZACION DE MEDIOS Y METODOS DE GUERRA ILICITOS
UTILIZACION ILEGAL DE UNIFORMES E INSIGNIAS,2,UTILIZACION ILEGAL DE UNIFORMES E INSIGNIAS
UTILIZACION ILICITA DE EQUIPOS TRANSMISORES O RECEPTORES,2,UTILIZACION ILICITA DE EQUIPOS TRANSMISORES O RECEPTORES
UTILIZACION O FACILITACION DE MEDIOS DE COMUNICACION PARA OFRECER ACTIVIDADES SEXUALES CON PERSONAS MENORES DE 18 AÑOS,0,UTILIZACION O FACILITACION DE MEDIOS DE COMUNICACION PARA OFRECER ACTIVIDADES SEXUALES CON PERSONAS MENORES DE 18 AÑOS
UTILIZACIÓN ILÍCITA DE REDES DE COMUNICACIONES,4,UTILIZACIÓN ILÍCITA DE REDES DE COMUNICACIONES
VIOLACION A LOS DERECHOS MORALES DE AUTOR,6,VIOLACION A LOS DERECHOS MORALES DE AUTOR
VIOLACION A LOS MECANISMOS DE PROTECCION DE LOS DERECHOS PATRIMONIALES DE AUTOR Y OTRAS DEFRAUDACIONES,6,VIOLACION A LOS MECANISMOS DE PROTECCION DE LOS DERECHOS PATRIMONIALES DE AUTOR Y OTRAS DEFRAUDACIONES
VIOLACION DE DATOS PERSONALES,3,VIOLACION DE DATOS PERSONALES
VIOLACION DE FRONTERAS PARA LA EXPLOTACION DE RECURSOS NATURALES,4,VIOLACION DE FRONTERAS PARA LA EXPLOTACION DE RECURSOS NATURALES
VIOLACION DE HABITACION AJENA,2,VIOLACION DE HABITACION AJENA
VIOLACION DE MEDIDAS SANITARIAS,1,VIOLACION DE MEDIDAS SANITARIAS
VIOLACION DEL REGIMEN LEGAL O CONSTITUCIONAL DE INHABILIDADES E INCOMPATIBILIDADES,1,VIOLACION DEL REGIMEN LEGAL O CONSTITUCIONAL DE INHABILIDADES E INCOMPATIBILIDADES
VIOLACION EN LUGAR DE TRABAJO,7,VIOLACION EN LUGAR DE TRABAJO
VIOLACION ILICITA DE COMUNICACIONES,1,VIOLACION ILICITA DE COMUNICACIONES
VIOLACIÓN A LOS DERECHOS DE AUTOR ART. 51 LEY 44 DE 1993,1,VIOLACIÓN A LOS DERECHOS DE AUTOR ART. 51 LEY 44 DE 1993
VIOLENCIA CONTRA SERVIDOR PUBLICO,7,VIOLENCIA CONTRA SERVIDOR PUBLICO
VIOLENCIA INTRAFAMILIAR,7,VIOLENCIA INTRAFAMILIAR
DESACATO A UNA ORDEN DE PROTECCION FAMILIAR,7,DESACATO A UNA ORDEN DE PROTECCION FAMILIAR
